게시물 ID,설명,기간(초),게시 시간,게시물 유형,노출,도달,공유,팔로우,재생 횟수,좋아요,저장,키워드
1.7969003915059476e+16, 나우리캠프 Part   목신입생 전체 사진 촬영 학부 전공별 설명회 석식 Photo by KCBS 촬영에 협조해주신 모든 학우분들께 감사드립니다 ,0.0,03/06/2023 23:03,IG 슬라이드,6608.0,3601.0,47.0,2.0,0.0,268.0,3.0,"['나우리캠프', 'Part', '목신입생', '전체', '사진']"
1.7977115654026532e+16,한국기술교육대학교 졸업생 인터뷰 제 편마지막 인터뷰의 주인공은 삼성전자 TSP 총괄사업부에서 설비직군으로 재직중인 여도현  동문님입니다삼성전자 취업에 있어 학점과 경험 중 어떤 것이 더 중요했는지 중고신입으로 입사한 현직자 피셜 취업꿀팁까지 함께 확인해보세요삼성전자 삼성취업 한국기술교육대학교,90.0,03/07/2023 17:03,Instagram 릴스,636.0,609.0,1.0,0.0,615.0,5.0,0.0,"['한국기술교육대학교', '졸업생', '인터뷰', '제', '편마지막']"
1.7993006791677982e+16,학년도 입학식 Part   금 담헌실학관학번 새내기들의 입학을 다시 한 번 축하합니다 촬영에 협조해주신 모든 학우분들께 감사드립니다,0.0,03/07/2023 19:03,IG 슬라이드,6586.0,3595.0,21.0,2.0,0.0,273.0,2.0,"['학년도', '입학식', 'Part', '금', '담헌실학관학번']"
1.7874581003840644e+16,학년도 입학식 Part   금 담헌실학관학번 새내기들의 입학을 다시 한 번 축하합니다 Photo by 홍보대사 나래 촬영에 협조해주신 모든 학우분들께 감사드립니다,0.0,03/07/2023 19:03,IG 슬라이드,6498.0,3493.0,28.0,0.0,0.0,213.0,0.0,"['학년도', '입학식', 'Part', '금', '담헌실학관학번']"
1.7926434140569152e+16,당신의세월을존경합니다한국기술교육대학교의 발전을 위해 헌신하신 교수님들께서 정든 한기대를 떠나 새로운 출발을 기약하셨습니다 메카트로닉스공학부 원윤재 교수님 메카트로닉스공학부 이상순 교수님전기전자통신공학부 오성철 교수님 산업경영학부 최두열 교수님 교양학부 장윤상 교수님 교양학부 정재영 교수님 여 년의 긴 시간 동안 대한민국 학문 발전과 인재양성에 힘써주신 교수님들의 앞날에 무한한 영광이 가득하길 기원합니다교수님 그 동안 수고하셨습니다 함께여서 행복했습니다 ,0.0,03/08/2023 22:03,IG 슬라이드,6806.0,3624.0,8.0,2.0,0.0,212.0,3.0,"['교수님', '메카트로닉스공학부', '교양학부', '동안', '당신의세월을존경합니다한국기술교육대학교의']"
1.8047656780408576e+16,대학교 장학금 학점 마라탕우리마라탕 먹을 수 있을까 l 대학교 장학제도 알아보기장학금 지원이 풍부한 한국기술교육대학교에는 어떤 장학금이 있을까요마라탕으로 배우는 한기대 장학제도 지금 확인하러 가시죠,60.0,03/13/2023 00:03,Instagram 릴스,4432.0,2681.0,12.0,1.0,5723.0,79.0,6.0,"['대학교', '장학제도', '장학금', '학점', '마라탕우리마라탕']"
1.8250500061199444e+16,이성기총장님 이임식      한국기술교육대학교 제대 총장 이성기더 나은 내일로 가기 위한 희망 계단이성기 총장님의 비전을 한국기술교육대학교는 담대하게 이어나가겠습니다총장님의 더 눈부신 앞날을 한국기술교육대학교 학생과 교직원들은 한마음으로 응원하겠습니다 ,0.0,03/13/2023 19:03,IG 슬라이드,6245.0,3527.0,5.0,1.0,0.0,213.0,4.0,"['한국기술교육대학교', '이성기총장님', '이임식', '제대', '총장']"
1.7842019909961128e+16,채용상담회 커피차국내 유일 위성시스템 개발수출에 성공한 우주항공 전문기업 쎄트렉아이 채용상담회가 다음 주 수요일 진행됩니다  일시 및 장소    수 부터 학생통합지원센터 앞 주요 내용  커피 및 음료 쿠키 무료 제공선착순 명  쎄트렉아이 인사담당자 채용상담  취창업지원팀 학년도 취업프로그램 홍보경력개발노트 및 코룡이 그립톡 증정 기타 사항  쎄트렉아이  공개채용 예정관심있는 재학생 여러분의 많은 관심과 참여 부탁 드립니다,0.0,03/15/2023 23:03,IG 이미지,5132.0,3072.0,2.0,0.0,0.0,39.0,2.0,"['쎄트렉아이', '및', '채용상담회', '커피차국내', '유일']"
1.8004432411617564e+16,한기대 졸업식 학위수여식분으로 보는 한기대 졸업식년 월 일 한국기술교육대학교 제캠퍼스 담헌실학관에서 진행된 학년도 한국기술교육대학교 학위수여식 스케치 영상입니다 ,162.0,03/16/2023 06:03,Instagram 릴스,4655.0,2888.0,11.0,0.0,5347.0,146.0,3.0,"['한기대', '한국기술교육대학교', '졸업식', '학위수여식분으로', '보는']"
1.816908165127565e+16,한기대 입학식 새내기분으로 보는 한기대 입학식년 월 일 한국기술교육대학교 제캠퍼스 담헌실학관에서 진행된 학년도 한국기술교육대학교 입학식 스케치 영상입니다 대학이라는 멋진 세상으로 발돋움한 한기대 학번 새내기들을 다시 한 번 환영합니다,129.0,03/16/2023 06:03,Instagram 릴스,4872.0,2888.0,7.0,0.0,5783.0,200.0,2.0,"['한기대', '입학식', '한국기술교육대학교', '새내기분으로', '보는']"
1.7938948076509884e+16,한기대 공감 shorts reels인정할 수밖에 없는 한기대생 공감 일상 한국기술교육대학교 학생이라면 한 번쯤 공감할만한 상황들여러분의 공감 일상은 언제인가요,42.0,03/20/2023 02:03,Instagram 릴스,19529.0,17585.0,71.0,3.0,21197.0,196.0,9.0,"['공감', '한기대', 'shorts', 'reels인정할', '수밖에']"
1.798458039483422e+16,코룡아 나 지금 되게 신나한기인들이 목빠지게 기다린 나우리캠프가 년만에 대면으로 전격 개최이 날 만을 기다린 새내기들과 어쩌면 더 손꼽아 기다렸을 재학생들한기대 나우리캠프 현장 스케치를 함께 감상해 보실까요한기대 오티 나우리캠프 대학교OT 한국기술교육대학교,90.0,03/20/2023 18:03,Instagram 릴스,827.0,816.0,0.0,1.0,807.0,17.0,0.0,"['기다린', '나우리캠프', '코룡아', '나', '지금']"
1.798307755984406e+16,WINGSMAGAZINE 특별편 글쓰기 말하기 사람을 담다 Wings Magazine 년 특별편돌아온 윙스 매거진윙스 매거진은 한국기술교육대학교와 관련된 사람을 섭외하여 인터뷰를 통해 주인공에 대하여 알아가는 잡지입니다이번 윙스 매거진은 주인공이 명인 특별편으로 진행되었습니다그 주인공은 바로한국기술교육대학교 재학생들의 말하기 실력과 글쓰기 실력 향상에 도움을 주고 계시는 글쓰기 상담실 담당 김민지 교수님과 말하기 상담실 담당 박구비 교수님입니다두 교수님께서는 같은 고등학교와 같은 대학교를 졸업했다는 연결고리를 가지고 계신데요 실제로 많은 학생이 수업과 상담을 통해 자신감을 얻어가고 취업 준비에도 많은 도움을 얻어간다고 합니다지금부터 김민지 교수님과 말하기 박구비 교수님께서 들려주시는 글쓰기 말하기 교육에 대한 이야기를 확인해보시죠공학적 지식뿐만 아니라 인문학적 소양과 자신감도 얻어갈 수 있는 절호의 기회글쓰기 상담 말하기 상담 많은 관심과 참여 부탁드립니다글쓰기 말하기 교육 신청은 아우누리 일반공지   httpsportalkoreatechackrpSTHOME  그대와 함께 만드는 WINGS MAGAZINE,0.0,03/22/2023 02:03,IG 슬라이드,7197.0,3880.0,8.0,0.0,0.0,205.0,26.0,"['말하기', '글쓰기', '많은', '사람을', '윙스']"
1.8208704799210084e+16,방구석 사생대회 shorts reels방구석 사생대회 코룡이를 그려줘 Part 안녕하세요 한국기술교육대학교 재학생 홍보대사 나래 기입니다방구석 사생대회  코룡이를 그려줘 이벤트가 종료되어 투표 결과가 공지되었습니다많은 분이 참여를 해주셨고 코룡이를 다양하게 그려주셨는데요귀엽고 다양한 코룡이의 모습을 담은 그림여러분도 궁금하지 않나요함께 릴스를 통해 확인해보시죠Part도 있다는 사실내일을 향한 기대 당신을 향한 나래 with KOREATECH,59.0,03/23/2023 00:03,Instagram 릴스,5058.0,2279.0,0.0,0.0,5941.0,31.0,1.0,"['사생대회', '코룡이를', '그려줘', '나래', '향한']"
1.796125290823406e+16,방구석 사생대회 shorts reels방구석 사생대회 코룡이를 그려줘 Part 안녕하세요 한국기술교육대학교 재학생 홍보대사 나래 기입니다방구석 사생대회  코룡이를 그려줘 이벤트가 종료되어 투표 결과가 공지되었습니다많은 분이 참여를 해주셨고 코룡이를 다양하게 그려주셨는데요귀엽고 다양한 코룡이의 모습을 담은 그림여러분도 궁금하지 않나요함께 릴스를 통해 확인해보시죠 이번 이벤트에 참여해주신 모든 분들 감사드립니다 내일을 향한 기대 당신을 향한 나래 with KOREATECH,59.0,03/23/2023 00:03,Instagram 릴스,5062.0,2360.0,0.0,0.0,5968.0,32.0,1.0,"['사생대회', '코룡이를', '그려줘', '나래', '향한']"
1.7895491456784122e+16,동아리 박람회 동아리박람회 체험 나래와 함께하는 동아리 박람회 체험얼마 전 월 일 수요일에 총동아리연합회에서 주관하는동아리 박람회 행사가 진행되었습니다다들 동아리 박람회를 잘 즐기셨나요우리 학교의 다양한 동아리들이 재밌는 체험과 퀴즈 등 각 동아리의 특성을 반영한 콘텐츠를 준비했다고 합니다그래서 빠밤재학생 홍보대사 나래가 동아리 박람회를 직접 체험해 보았습니다카드 뉴스에 모두 나오진 않았지만 재미있고 활동적인 부스들이 많았는데요한국기술교육대학교의 다양한 동아리가 궁금하지 않으신가요지금 바로 확인하러 가보시죠내일을 향한 기대 당신을 향한 나래 with KOREATECH,0.0,03/27/2023 20:03,IG 슬라이드,5894.0,3538.0,1.0,1.0,0.0,174.0,0.0,"['동아리', '박람회', '박람회를', '다양한', '향한']"
1.835162166701105e+16,안전신문고 포상제도안전신문고 대학 내에서 경험한 아차사고 또는 잠재적 위험요인을 신고하여 사전에 위험 요소를 개선하는 제도 신고대상 모든 안전사고 위험요인 운영기간 상시 포상제도신고자 대즐 상품권만원 지급 및 위원회 심의 후 우수사례 포상만원자세한 신고방법 및 처리절차는 슬라이드를 참고해주세요 안전한 교육환경을 만들기 위한 한국기술교육대학교의 노력은 계속됩니다,0.0,03/27/2023 21:03,IG 슬라이드,4735.0,2689.0,0.0,0.0,0.0,42.0,2.0,"['및', '안전신문고', '포상제도안전신문고', '대학', '내에서']"
1.7969943053324412e+16,한국기술교육대학교에 입학하게 되면 필수적으로 이수해야 하는 HRD 부전공Human Resources Development aka 흐르드 고용노동부가 설립한 한국기술교육대학교에서 왜 HRD를 배워야 하는지 나아가 대학에서 배운 HRD교육이 취업 후 실무에서 어떻게 사용되는지 영상을 통해 만나보세요 HRD 부전공 한국기술교육대학교 인적자원개발,90.0,03/27/2023 23:03,Instagram 릴스,961.0,909.0,1.0,0.0,950.0,9.0,0.0,"['HRD', '한국기술교육대학교에', '입학하게', '되면', '필수적으로']"
1.7986169779902248e+16,경험하자 한기대 즐겨보자 한기대 ep 내 이름은 김 춘 배작가  우비건축공학전공 학번uubi,0.0,03/28/2023 02:03,IG 슬라이드,5051.0,2815.0,9.0,1.0,0.0,143.0,2.0,"['한기대', '경험하자', '즐겨보자', 'ep', '내']"
1.7982379006894564e+16,Plogging 봉사활동만물이 소생하는 봄을 맞아 한국기술교육대학교 구성원들이 교내 및 대학 주변 플로깅 봉사활동을 실시했습니다환경보호에 진심인 여 명의 학생들과 교직원들이 한 마음 한 뜻이 되어 캠퍼스와 대학가 주변이 더 눈부시게 깨끗해졌습니다 지금처럼 쓰레기 무단투기를 자제하고 내 주변의 쓰레기는 먼저 정리하는 솔선수범의 자세로 아름다운 캠퍼스를 만드는 데 동참해주세요,0.0,03/28/2023 18:03,IG 슬라이드,4994.0,2851.0,11.0,0.0,0.0,175.0,2.0,"['한', 'Plogging', '봉사활동만물이', '소생하는', '봄을']"
1.7988810454753772e+16,고룡이 용 되기 ep 고룡이 용 되다작가  고룡산업경영학부 학번goooryong,0.0,03/28/2023 21:03,IG 슬라이드,5590.0,3081.0,13.0,0.0,0.0,179.0,5.0,"['고룡이', '용', '되기', 'ep', '되다작가']"
1.7981714620997496e+16,다산정보관 도서관 투어한눈에 알아보는 다산정보관 신입생 공강 때 뭐하니안녕하세요 한국기술교육대학교 재학생 홍보대사 나래 기입니다개강한 지 얼마 지나지 않은 것 같은데 벌써 중간고사가 다가오고 있네요시험 기간 많은 학우분이 다산정보관을 이용하실 텐데요여러분은 다산정보관에 대하여 얼마나 알고 계신가요다산정보관 시설부터 이용 방법 그리고 독서 인증제 까지다산정보관에 관련된 정보들을 한눈에 볼 수 있도록 정리해보았습니다다산정보관에 대한 정보가 궁금하시다면 지금 바로 확인하러 가보시죠본 게시물은 월 일부터 월 일까지 다산정보관에서 진행되었던 신입생 공강 때 뭐하니 투어에서 내용을 제공받았습니다내일을 향한 기대 당신을 향한 나래 with KOREATECH,0.0,03/28/2023 23:03,IG 슬라이드,5677.0,3067.0,7.0,1.0,0.0,128.0,42.0,"['다산정보관', '신입생', '공강', '때', '나래']"
