콘텐츠,동영상 제목,동영상 게시 시간,조회수,시청 시간(단위: 시간),구독자,평균 시청 지속 시간,노출수,노출 클릭률 (%)
1hluZdn9JGg,홍보대사 프로필 촬영 스케치 필름 📸 #한국기술교육대학교 #나래15기,29-Aug-23,775,10.0023,0,0:00:46,13297,4.39
NMsKhf1iWIo,[한국기술교육대] 이성기 총장님 2022학년도 신입생 입학 축하영상,21-Feb-22,775,11.5551,-5,0:00:53,15949,3.62
MOC14mYYSDI,2021학년도 한국기술교육대학교 학위수여식,18-Feb-22,772,24.5588,-1,0:01:54,16483,3.59
cUgPfiFOi5o,박람회 V-LOG | 2022학년도 대입 광주 진로진학 박람회 [한국기술교육대학교/KOREATECH],03-Aug-21,768,7.213,1,0:00:33,15105,3.87
Vobe-GnEhFQ,대학교 도서관 뽀개기ㅣ다산정보관 활용백서 (🍯TIP 가득!)ㅣ한국기술교육대학교,24-May-23,752,15.6182,-1,0:01:14,13593,4.26
ek7X4rsa0A0,개교 30주년 기념식 | 한기대 인연과 바람(30인) 인터뷰 하이라이트,05-Nov-21,752,15.1194,0,0:01:12,21422,2.12
_6qYKFWbkME,코리아텍 후배사랑 모교사랑 발전기금 홍보영상,06-Dec-15,747,36.0516,0,0:02:53,7551,2.62
hey5fgdf59w,[옥션마켓] 딥러닝 기술과 Pick-and-Place 로봇을 활용한 스마트팩토리,27-Nov-20,747,8.2832,1,0:00:39,16725,3.52
o_943SA0gz4,[한국기술교육대학교/코리아텍] 2020학년도 논술대비 기출문제 풀이영상 (오전 - 수학),22-Aug-19,745,16.4063,2,0:01:19,14292,3.26
wIBYlflCI7o,코리아텍 마네킹챌린지 2,21-May-17,739,7.9709,0,0:00:38,7277,4.26
Fp2dXZbrzWU,2021 졸업작품 | 디자인·건축공학부 | 천안복합역사 개발 계획안 [한국기술교육대학교/KOREATECH],27-Jun-21,738,11.1463,-1,0:00:54,6690,3.71
S1ndM5Rd-sU,2021 졸업작품 | 전기·전자·통신공학부 | 영상인식과 UWB를 이용한 1인 미디어용 트래킹 촬영장비 [한국기술교육대학교/KOREATECH],30-Jun-21,733,17.3105,2,0:01:25,11055,3.84
Vxw9NNlWi38,"라오스 고등학생들과 코딩으로 놀기-★ㅣ대학교 해외봉사✈️ 브이로그ㅣVLOG in Luang Prabang, Laos🇱🇦ㅣ2022 한국기술교육대학교 동계 국외봉사 브이로그 Ep. 3",09-Mar-23,726,18.5878,-2,0:01:32,13610,3.81
LCSNKdV0OXo,"[KTV 다큐기획 정책현장을 가다 _17회 고용서비스정책학과 Cut] 고용 사각지대 ZERO, 함께 보람된 일상으로",26-Dec-22,725,15.7083,-2,0:01:18,15387,3.26
NZolFcpKF9I,[한국기술교육대학교/코리아텍] 2018년 코리아텍 재학생 홍보대사 10th 나래의 밤,31-May-18,718,9.2958,0,0:00:46,13105,4.09
QmDw1BNddLQ,[VLOG] 누가 아직 종강 안 했니? 네 제가 '누'입니다 | 계절학기 생존기 | 종강 후 대학생 브이로그,16-Aug-23,717,23.2212,1,0:01:56,12018,4.59
ERcM010t1Sc,"[TJB 생방송투데이] 이기권 한국기술교육대 총장 인터뷰 & 드리븐, 앙클, 재학생인터뷰",23-Jul-13,714,26.8816,0,0:02:15,5492,1.78
X-H71EydLVI,[한국기술교육대학교/코리아텍] 학생부 종합 전형 소개 자료,22-Aug-19,713,19.4859,1,0:01:38,15527,2.07
7GCVxjXaSUE,코리아텍 공감영상 「수강신청 끝나지 않았다.」,23-Jan-17,687,8.1964,2,0:00:42,6122,5.72
Ma0PeVa60pI,"Technology for People, Education that Changes the World l 2022 KOREATECH official PR film",28-Nov-22,681,9.4538,0,0:00:49,17391,3.12
uFZ6G7d_l8c,[한국기술교육대] 이성기 총장님 2021학년도 신입생 입학 축하영상,22-Feb-21,679,10.7273,1,0:00:56,14888,2.7
MeI0uHEzdhI,한국기술교육대학교 이성기 총장님 2019학년도 학위수여식 축하영상[한국기술교육대학교/KOREATECH],21-Feb-20,678,11.063,0,0:00:58,11122,2.58
UXi-sdlINLA,[직업능력개발 세션] 한국기술교육대학교 고용직업능력개발센터 고용 및 직업능력개발 연구 학술대회,20-Jan-22,677,49.3475,0,0:04:22,26893,1.54
rgt6eoQkSUU,"'청년이 일하는 사회, 우리의 미래' 공익캠페인",03-Jan-18,674,6.5607,2,0:00:35,8926,3
FzfgTl14S5U,KOREATECH Hybrid,06-Jan-14,672,47.0532,0,0:04:12,2240,1.07
HC_7U76QgnY,"불면증, 스트레스 해소에 좋은 피곤함 완화 요가🧘‍♀ (with. 유튜버 재미나 GEMINA) [한국기술교육대학교/KOREATECH]",06-Feb-21,671,11.5066,0,0:01:01,13395,3.51
QBpuY5V0Ix4,"학교 공간에 이름을 지어주세요! l 한글날, 한기대 우리말 작명소",09-Oct-22,671,4.5771,-2,0:00:24,8061,6.74
WdoIgTce2cQ,"[코리아텍/한국기술교육대학교] 한맥제 ""나래팡"" 사전영상",07-May-19,665,6.7687,-1,0:00:36,15277,3.32
_EgMpp5FPow,[KOREATECH] 2015 홍보동영상,21-Jan-15,665,26.0301,0,0:02:20,2273,1.8
0Q1XaIjVU7c,"2022년 한기대, 그리고 꿈_ 한꿈 강연",23-Nov-22,662,63.2745,3,0:05:44,8307,4.72
MHssHSagiss,팀 프로젝트 V-LOG | 산업경영학부 [한국기술교육대학교/KOREATECH],11-Aug-21,660,10.5079,2,0:00:57,8204,6.46
e2ztyJqsvM0,"[한기人터뷰] 조리사님, 총학생회장, 학부모님까지? 😲당신이 바라는 한국기술교육대학교는?ㅣ유길상 총장님 취임식 축하 영상 메시지",30-Aug-23,646,10.1757,0,0:00:56,12938,3.82
Jh4Kq0K4ifY,[한국기술교육대학교/코리아텍] 2018학년도 코리아텍 고교생 과학캠프 : 2nd 영상,28-May-18,635,13.5305,3,0:01:16,13454,3.49
4Tx75A92oJ4,"고민있는 날에, 나래 라디오 | 나래 13기 [한국기술교육대학교/KOREATECH]",23-Jun-21,631,8.9735,0,0:00:51,4770,8.36
LclNKwQyqxU,[코리아텍] '자율주행자동차 영상' 화제,03-Apr-18,629,18.9217,0,0:01:48,10689,3.2
mvY0g-rawJY,"[한국기술교육대학교/코리아텍] 학술제 ""나래 문방구"" 홍보동영상",08-Oct-18,629,4.2444,0,0:00:24,11545,3.5
Ij8SdhFbwcI,2021학년도 한국기술교육대학교 전형 소개_학생부 교과전형 [한국기술교육대학교/KOREATECH],04-Jun-20,616,13.4741,1,0:01:18,15245,2.43
n5snW4-9WpU,2020 졸업작품ㅣAR당구ㅣ강승우ㅣ전기전자통신공학부ㅣ전자공학전공 [한국기술교육대학교/KOREATECH],13-Oct-22,613,14.9074,1,0:01:27,5833,6.43
fmvgPXQg5B0,[코리아텍] 한맥제 '드림하이 프로젝트' 행사 영상,05-Jun-17,611,3.9962,0,0:00:23,6592,3.97
Uxh-epwOxmk,[코기자가 간다] 코간다 하이라이트 | 주기자가 간다 패러디 (feat.가제트 이승수 팀장님),05-Feb-23,610,10.9066,0,0:01:04,13096,3.6
XBrIe7efETk,한국기술교육대학교 이성기총장님 입학식 축하영상[한국기술교육대학교/KOREATECH],25-Feb-20,609,10.0081,2,0:00:59,14048,3.07
S15QTCJyAFw,한국기술교육대학교 개교30주년 대학발전기금 모금 캠페인,16-Nov-21,607,7.4759,5,0:00:44,16382,2.71
QXptLJkltTE,[한국기술교육대학교] JTBC_12.10.22 한국기술교육대 가제트팀 '말춤',22-Oct-12,603,11.1624,0,0:01:06,3806,2.08
Au6AaDzEVZs,개교 30주년 기념식 | 기념사 및 비전 발표,03-Dec-21,600,17.7107,3,0:01:46,15380,2.08
_fEIuKLxiJM,[한국기술교육대학교/코리아텍] 논술 전형 코리아텍 일반 소개 자료,22-Aug-19,598,10.5076,1,0:01:03,15578,2.46
 -kMr0X9HQQw,2021 졸업작품 | 기계공학부 | 자동화 센서 및 베어링을 활용한 스마트 채소결속기 [한국기술교육대학교/KOREATECH],01-Jul-21,593,10.6826,0,0:01:04,11196,3.4
JUY3ONMd4js,[코리아텍]나는 KOREATECH 학생입니다 학술제 행사영상,22-Oct-17,588,6.7724,0,0:00:41,8252,3.28
R6V6SnOsNwA,코리아텍 2016 고교생 과학캠프,15-May-16,587,14.3357,0,0:01:27,4165,2.86
zQABXudJmr8,농활 Vlog Ep.1 [비가 와도 삽질은 멈출 수 없어] l 공대생들의 농촌봉사활동 체험기,18-Sep-23,582,14.5813,-1,0:01:30,12422,3.28
PHBbuptfYwU,한기대 K-BUB 팀 하이라이트ㅣ2022 대학생 창작자동차경진대회 자율주행차 부문 은상ㅣ라이브 스트리밍 편집본,25-Oct-22,575,12.7546,1,0:01:19,14028,2.9
WndmCBKDTT0,2021 하반기 졸업작품 | 컴퓨터공학부 | 황은영 [한국기술교육대학교/KOREATECH],21-Oct-21,575,7.1599,0,0:00:44,14812,2.97
U_IqHcXHfEY,남성을 위한 맨즈 요가🧘‍♀ PART 1 (with. 유튜버 재미나) [한국기술교육대학교/KOREATECH],28-Jan-21,572,9.7832,0,0:01:01,15422,2.93
W0yrQJcXLDI,한국기술교육대학교 재학생 홍보대사 나래 13기를 모집합니다😊 [한국기술교육대학교/KOREATECH],12-Mar-21,566,3.1002,0,0:00:19,13519,2.65
FAD3BwhT140,[한국기술교육대학교] 2013 동계과학캠프 'C스타-러빙유',14-Feb-13,565,9.6105,0,0:01:01,3160,0.98
gsWD_VUl3Sk,2020 졸업작품ㅣ별 따러 온 그대ㅣ정현정ㅣ컴퓨터공학부 | [한국기술교육대학교/KOREATECH],13-Oct-22,562,7.1119,0,0:00:45,5275,7.89
gAuz9H8eS-M,2021 하반기 졸업작품 | 메카트로닉스공학부 | 이승현 [한국기술교육대학교/KOREATECH],18-Oct-21,554,11.7775,0,0:01:16,8713,3.36
yOLnniLFyO0,[EVENT] 한기대 유튜브 채널 구독 이벤트! 공식 홍보영상에 댓글 남기고 스벅 기프티콘 받아가세요!,07-Nov-22,552,2.0087,29,0:00:13,8052,4.55
1kld5lteZCc,농활 Vlog Ep.2 [깨도 심고 벽화도 그리고... 바쁘다 바빠 농촌 사회] l  공대생들의 농촌봉사활동 체험기 2,20-Sep-23,548,11.9246,0,0:01:18,10352,3.31
ToBVUjMVlDA,[옥션마켓] 택배기사의 근골격계질환을 예방하기 위한 근력보조 유니폼,20-Nov-20,546,8.922,4,0:00:58,9834,3.76
lSJoY_p9dfw,음파음파🌊같이 수영가자! ㅣCOURSEㅣ2023 KOREATECH 동아리 상영관,27-Apr-23,543,6.2696,0,0:00:41,10729,3.95
MWnlkOYkEl0,남성을 위한 맨즈 요가🧘‍♀ PART 2 (with. 유튜버 재미나) [한국기술교육대학교/KOREATECH],28-Jan-21,542,7.0539,0,0:00:46,15344,2.93
wqGDcImw2Os,2021 졸업작품 | 전기·전자·통신공학부 | 도로 경사면 변화 감지 스마트 휠 [한국기술교육대학교/KOREATECH],30-Jun-21,540,5.678,0,0:00:37,8740,4.02
 -xnMH_f-rg0,"[한국기술교육대학교] ""나는 동아리다!"" 3회 (9/19)",23-Oct-12,534,6.8531,0,0:00:46,3190,1.97
7AN7bwLnS8s,능력개발교육원 교•강사 보수교육 오리엔테이션_기본교육(교직분야) [한국기술교육대학교/KOREATECH],,534,19.0294,0,0:02:08,0,
I7fqsSiCepI,능력개발교육원 자격교육 오리엔테이션_교직훈련과정 [한국기술교육대학교/KOREATECH],,533,64.624,9,0:07:16,9,11.11
l7lx7eCLRrA,능력개발교육원 교•강사 보수교육 오리엔테이션_기초교육 [한국기술교육대학교/KOREATECH],,525,21.0799,10,0:02:24,4,0
1k91Zg5a-WI,"[INTERVIEW] 이장님피셜 별이 다섯 개! ★★★★★ 농기계 수리, 전기 배선 수리에 벽화 그리기까지!  | 2023 한국기술교육대학교 하계 기술봉사",06-Sep-23,518,8.7267,0,0:01:00,10487,2.6
Go4HGeukbYI,2021 하반기 졸업작품 | 컴퓨터공학부 | 송다경 [한국기술교육대학교/KOREATECH],21-Oct-21,516,6.4672,0,0:00:45,11559,3.39
WO4ukrhxvVs,2021 졸업작품 | 전기·전자·통신공학부 | MQTT통신 기반 스마트 컴퓨터 마우스 [한국기술교육대학교/KOREATECH],30-Jun-21,515,5.9942,1,0:00:41,10387,3.65
wIEBt9IMrKQ,2024학년도 논술고사 대비 문제 풀이 [23학년도 기출]｜수리논술｜오후 [한국기술교육대학교/KOREATECH],26-Jul-23,511,9.6591,3,0:01:08,9419,3.49
JzZoB2rl8RY,"기억하겠습니다, 그날의 함성 | 광복절 | 나래 13기 [한국기술교육대학교/KOREATECH]",11-Aug-21,510,4.9511,0,0:00:34,12176,3.02
m-s-NHxSbH4,떠나요~ 제주도~ 겁없이 뜨겁게! 한기대 국토대장정 소희 Vlog [한국기술교육대학교/KOREATECH] #shorts #reels,22-Sep-23,502,3.2819,1,0:00:23,3866,2.72
f8SCnA4VzSg,자작차 폼 美쳤다ㅣ자.연.인ㅣ자작자동차 동아리 | 2023 KOREATECH 동아리 상영관,02-May-23,501,10.2262,-1,0:01:13,10193,3.55
XjWGGV82t2g,[한국기술교육대학교] 대전MBC뉴스 2012 하이브리드대회 드리븐 우승,29-Oct-12,499,6.8505,0,0:00:49,2670,2.73
stA0C1PFTas,텐션 미쳤다!! 억텐아닙니다🙏 친목 안 쌓일 수 없는 한기대 국토대장정 진영Vlog [한국기술교육대학교/KOREATECH],03-Oct-23,497,17.7169,0,0:02:08,7027,4.87
ueF_n-B25PQ,2020학년도 논술고사 문제 풀이영상(오후-수학) [한국기술교육대학교/KOREATECH],04-Jun-20,495,8.8002,0,0:01:04,12313,3.05
2ieuQc8gyD0,"[한국기술교육대학교] ""나는 동아리다!"" 1회 (9/18)",23-Oct-12,488,5.4388,0,0:00:40,2963,2.23
xMahpWcZEnE,날씨 Mi쳤어!! 우리 한라산 문제없지... 아니 있을지도?👀 한기대 국토대장정 상우Vlog [한국기술교육대학교/KOREATECH],29-Sep-23,488,17.8718,-1,0:02:11,14284,2.92
ClI5qlSXENk,2021 하반기 졸업작품 | 메카트로닉스공학부 | 전태현 [한국기술교육대학교/KOREATECH],21-Oct-21,487,6.977,0,0:00:51,12248,3.29
nYdtXH0lZNA,"너의 스무살은 어때? NEW ME, NEW WORLD 🌟 l 2024학년도 한국기술교육대학교 수시모집 #shorts #reels",17-Aug-23,481,2.2222,0,0:00:16,5252,2.82
q5Wy2ZybTd8,[한국기술교육대학교] KBS뉴스 담헌실학관 개관,22-Oct-12,481,2.1632,0,0:00:16,3020,5.93
GpC3eETGHGA,능력개발교육원 교•강사 보수교육 오리엔테이션_전문교육 [한국기술교육대학교/KOREATECH],,479,18.6613,3,0:02:20,3,0
fStrE7u-cQ8,[코리아텍/한국기술교육대학교] 코리아텍 스마트 러닝 팩토리(Smart  Learning Factory) 개관식,07-Apr-19,476,7.9689,1,0:01:00,11738,2.14
nn2Vt4eWuW4,"[한국기술교육대학교/코리아텍] 학술제 ""나래 문방구"" 사후 동영상",18-Oct-18,467,4.9883,0,0:00:38,12709,2.55
CtXHOIFyAFQ,2020 한국기술교육대학교 산학협력 페스티벌 [한국기술교육대학교/KOREATECH],04-Jan-21,463,6.0933,0,0:00:47,13163,2.31
uzbUdXwo7LE,"[한국기술교육대학교/코리아텍]한맥제 ""나래야 잡화점의 기적"" 사후 동영상",14-May-18,462,6.2445,1,0:00:48,12399,2.6
YuHIlAcIWXc,[Vlog 🇻🇳] 그래서 우리는 베트남을 낭만✨이라고 한다 | 베트남 교육봉사 2탄,25-Sep-23,460,16.9918,4,0:02:12,9360,3.53
 -DrTrMOAdDg,MBTI별 친구가 지금 당장 여행 가자고 한다면? [한국기술교육대학교/KOREATECH],11-Oct-23,459,7.1287,0,0:00:55,6491,4.73
6edWCn_fJKQ,[한국기술교육대학교/코리아텍]2020학년도 논술대비 기출문제 풀이영상 (경제),22-Aug-19,458,6.4615,3,0:00:50,48962,0.64
xv-iwU_HC08,[한국기술교육대학교/코리아텍]2020학년도 논술대비 기출문제 풀이영상 (오전 - 물리),22-Aug-19,455,10.5186,1,0:01:23,14397,2.25
iUyvbueuln8,"[한국기술교육대학교/코리아텍]한맥제 ""나래야 잡화점의 기적"" 사전 홍보동영상",08-May-18,451,3.5787,1,0:00:28,10110,3.26
ZqVgFP08LZY,2021 졸업작품 | 전기·전자·통신공학부 | 유튜브와 연동하는 동작 인식 디바이스 [한국기술교육대학교/KOREATECH],30-Jun-21,443,7.2263,1,0:00:58,7807,3.55
h-mR-WSHo0s,KOREATECH KOICA UCC,27-Feb-14,442,7.3313,3,0:00:59,2750,1.49
2oDiRwRCqYo,[한국기술교육대학교] 우리가 선택한 공감아워 제 1회 코리아텍 '교육콘서트',07-Oct-16,436,8.4374,0,0:01:09,4777,2.64
1zdTLQp29to,[옥션마켓] 영상처리기반 자율주행 쇼핑카트,20-Nov-20,431,5.5506,0,0:00:46,10730,2.72
qCyFUC1FPs0,"국내 유일★ 특별함이 가득한 고용서비스정책학과! | 공무원, 공인노무사, 공단, 대기업 취업 어렵지 않지😉| [한국기술교육대학교/KOREATECH] #shorts #reels",31-Aug-23,430,3.5242,0,0:00:29,7120,1.38
-7H1JUdLQyw,2021 하반기 졸업작품전시회 [한국기술교육대학교/KOREATECH],18-Oct-21,428,3.866,-1,0:00:32,8503,3.02
aTk3jrPFozw,2021 하반기 졸업작품 | 에너지신소재화학공학부 | 차성경 [한국기술교육대학교/KOREATECH],21-Oct-21,422,7.7986,0,0:01:06,12748,1.78
zQf4ycF8Wjs,나랑 행성🪐보러가지 않을래?ㅣ세페우스ㅣ동아리 영상 공모전 BEST 영상,04-May-23,418,4.105,1,0:00:35,12483,2.69
Msgrqkf-STs,너도? 나두! 마음으로 통하는 베트남에서의 생생 후기 | 베트남 해외봉사 인터뷰,27-Sep-23,417,9.2856,1,0:01:20,10404,2.96
N-vyn1T86NM,"악기는 우리가 줄게, 너는 몸만 와🎺ㅣK-ORCHESTRAㅣ동아리 영상 공모전 BEST 영상",21-Apr-23,416,3.3078,-1,0:00:28,9819,3.14
na8qioDQNLY,2021 하반기 졸업작품 | 메카트로닉스공학부 | 황태현 [한국기술교육대학교/KOREATECH],18-Oct-21,416,3.7149,-1,0:00:32,11883,2.18
rO7YhVmWRkg,[코리아텍]2017 KORATECH International Day,08-Feb-18,414,7.8856,0,0:01:08,7414,3.55
XO5CEJOCls0,2021 하반기 졸업작품 | 에너지신소재화학공학부 | 김혜란 [한국기술교육대학교/KOREATECH],18-Oct-21,410,3.5969,1,0:00:31,6351,4.72
