콘텐츠,동영상 제목,동영상 게시 시간,조회수,시청 시간(단위: 시간),구독자,평균 시청 지속 시간,노출수,노출 클릭률 (%)
합계,,,4898269,57601.8768,7457,0:00:42,13048191,4.65
Jm5lEgjtdfI,[코리아텍/한국기술교육대학교] 광고영상7,28-Jun-19,3611486,15133.1746,51,0:00:15,263434,2.45
cZ50-hNWFTU,"너의 스무살은 어때? 나의, 한기로운 스무살 | 한국기술교육대학교",13-Jul-23,136153,194.351,56,0:00:05,31283,4.01
A7g-W6FZ8vU,당황스럽다 기말고사ver.,03-Jun-22,25569,152.4959,10,0:00:21,65911,6.29
h7Q6Lt5hCHQ,[알쓸대잡] 한국기술교육대학교 전기전자통신공학부 꿈의직장으로 직행,03-Sep-20,24050,796.9063,6,0:01:59,113687,6.42
R_fqKI0lxI4,[알쓸대잡] 한국기술교육대학교 메카트로닉스 공학부를 가면 신의 직장으로 직행?,02-Sep-20,19673,768.8999,33,0:02:20,200256,6.48
AXdaHVjUEbc,디지털 기초역량 특강 1편 | 인간을 대체할 로봇&챗봇 [한국기술교육대학교/KOREATECH],24-Dec-20,18949,839.8457,571,0:02:39,57729,2.96
Ec0oqoYwW5Q,[KOREATECH/구독이벤트] 현타주의 리얼대학생활 ‘최초공개‘,28-Aug-20,18371,104.6116,525,0:00:20,52642,8.23
Y4F2roIiqN4,[코리아텍] 홍보영상 (By. Team 추수),21-Feb-17,17950,962.1285,37,0:03:12,149415,6.71
yP8btWnxZLI,[알쓸대잡] 한국기술교육대학교 산업경영학부 취업걱정은 끝!,04-Sep-20,16051,785.0821,18,0:02:56,120931,6.15
VwzCtFHYsZo,기계공학부 재학생들의 하루 | 공대생 브이로그 [한국기술교육대학교/KOREATECH],10-Mar-20,15114,340.4629,34,0:01:21,158684,8.04
vp_qgQ1GwUg,[한국기술교육대학교/코리아텍] 2019 코리아텍 립덥영상,25-Nov-19,14323,518.0077,18,0:02:10,171523,6.06
UJ94SMABFAw,핸드폰 배경화면 뭐에요?(한기대편) #shorts #reels,20-Feb-23,13833,124.0509,9,0:00:32,91783,6.15
G4Y1THbfwUM,취업률 전국 1위? 한국기술교육대학교를 조사해 봤습니다 | 그 학교가 알고싶다 [한국기술교육대학교/KOREATECH],08-Oct-21,13352,311.2442,169,0:01:23,68680,6.23
0YfCBkss_tk,한국기술교육대학교 '2020 온라인 한율제',07-Oct-20,10845,2041.6595,11,0:11:17,17073,37.05
B4A-0wC_d8Q,[알쓸대잡] 한국기술교육대학교 기계공학부는 별5개짜리!,03-Sep-20,10571,271.3851,38,0:01:32,73215,4.4
uHeF0_I7f7k,[알쓸대잡] 한국기술교육대학교 디자인공학부의 놀라운 하루!,02-Sep-20,10039,363.1346,13,0:02:10,82373,6.08
BFcri_wzeug,"대한민국 공학교육의 선두, 한국기술교육대학교(KOREATECH)",19-Mar-13,9811,455.0355,4,0:02:46,35206,4.77
CjQ2vxm34vU,"👶새내기 주목!👶 대학교 기숙사생vs통학생vs자취생의 일상 브이로그 본격 비교 | 자취생 꿀팁, 기숙사 소개, 근로장학 [한국기술교육대학교/KOREATECH]",15-Dec-20,9618,329.102,13,0:02:03,111907,7.22
lUZlw9z4cjo,[알쓸대잡] 한국기술교육대학교 건축공학전공이 자랑하는 취업에 유리한 포인트,04-Sep-20,9605,545.6947,6,0:03:24,64668,5.08
hzOnQYgm0Ls,[한국기술교육대학교/코리아텍] 2019학년도 기계공학부 영상,04-Sep-18,9275,292.6257,32,0:01:53,118532,5.34
8GrC6hR-2eU,메카트로닉스공학부에는 인생의 진리가 있어😎 | 메카트로닉스공학부 | 2021 학부소개 [한국기술교육대학교/KOREATECH],11-Aug-21,8796,318.0695,71,0:02:10,133217,3.66
KHigR1wJvNI,"기계공학부, 올 거야. 말 거야? 🔧| 기계공학부 | 2021 학부과 소개 [한국기술교육대학교/KOREATECH]",11-Aug-21,7987,180.3435,101,0:01:21,104223,4.6
DxFIW4RvXMw,[한국기술교육대학교/코리아텍]산업경영학부 학과 소개 영상,23-Sep-19,7861,185.1459,15,0:01:24,78690,7.41
AJUnwrMyGjQ,[알쓸대잡] 한국기술교육대학교 에너지신소재화학공학부가 선택의 폭이 넓은 이유!,04-Sep-20,7769,367.2883,2,0:02:50,71270,4.63
G1cRwyzXp50,컴퓨터공학부 너.. 진짜 징하다! 어메이징-♥︎  | 컴퓨터공학부 | 2021 학부소개 [한국기술교육대학교/KOREATECH],11-Aug-21,7524,249.0772,81,0:01:59,95352,4.29
4hSZrVbsOOU,[코리아텍]메카트로닉스공학부  전공 소개 영상,27-Aug-17,7434,174.3094,18,0:01:24,63304,6.58
HkD3n9EM6vM,[2021 온라인 한율제 1일차],06-Oct-21,7403,1444.0969,10,0:11:42,28044,19.69
PDAWVQUd2o4,"사람을 향하는 기술, 세상을 바꾸는 교육ㅣ2022 한국기술교육대학교 공식 홍보영상",07-Nov-22,7341,107.8122,272,0:00:52,31581,5.89
qBw6D_R_H4s,2분으로 알아보는 한국기술교육대학교 축제 현장🔥 | 2022 한맥제 [한국기술교육대학교/KOREATECH],29-May-22,7080,102.2794,6,0:00:52,66866,9.43
Bd0be6dgXrs,전기전자통신공학부는 실습실이 이렇게 많다고? | 전기전자통신공학부 | 2021 학부소개 [한국기술교육대학교/KOREATECH],11-Aug-21,6945,197.1993,53,0:01:42,74798,3.92
7QyjB8E3tTM,[한국기술교육대학교/코리아텍] 국내 최초 드론 촬영 대학 홍보영상,07-Nov-18,6875,226.2117,19,0:01:58,103379,4.46
3uk4LalQlQE,한국기술교육대학교 개교 30주년 기념식에 초대합니다 | 2021. 11. 3.(수) 10:30 온라인 생중계,21-Oct-21,6813,36.9964,490,0:00:19,40240,4.61
inSg3YmG-pw,[한국기술교육대학교/코리아텍] 신입생 환영 영상3,05-Feb-20,6707,63.9829,3,0:00:34,53670,10.17
8Qnal_yN9go,[한국기술교육대학교/코리아텍] 메카트로닉스 학과 소개 영상,06-Feb-20,6596,151.0853,22,0:01:22,76726,6.99
1q0MmQ08wzk,[한국기술교육대학교/코리아텍] 19학번 신입생 여러분 환영합니다!!,25-Feb-19,6586,80.1868,19,0:00:43,55923,8.92
t4C3lPpfH14,디지털 기초역량 특강 2편 | 사회를 바꾸는 디지털 기술& 필수적 디지털 트랜스포메이션 [한국기술교육대학교/KOREAECH],24-Dec-20,6561,221.7889,102,0:02:01,19902,5.02
iP7mdd5O6Xo,"2022년 한국기술교육대학교 홍보영상 - 사람을 향하는 기술, 세상을 바꾸는 교육 [한국기술교육대학교/KOREATECH]",11-Mar-22,6537,148.9666,12,0:01:22,57997,6.23
pnCG1Eqsv48,한기대 과잠은 어떻게 생겼나요? 🤔 #shorts #reels,06-Mar-23,6483,54.9038,2,0:00:30,58082,6.36
gCyFibpIHIA,"[한국기술교육대학교] 열정락서 플래시몹! ""그대에게""",22-Oct-12,6382,178.7211,4,0:01:40,23036,5.73
lvuUF8GZPbY,신입생을 위한 기숙사 물품 체크리스트[한국기술교육대학교/KOREATECH],25-Mar-20,6273,145.1615,14,0:01:23,56574,8.92
otgWfqgo9ok,대학생 공감 일상 l 인정할 수밖에 없는 한기대생 공감 일상!😤 #shorts #reels,20-Mar-23,6211,48.5122,4,0:00:28,48323,6.12
6oAVW1ZrwaE,"운동, 코딩, 취업까지.. 홍교에게선 벽이 느껴져.. 완벽❤️| 산업경영학부 | 2021 학부소개 [한국기술교육대학교/KOREATECH]",11-Aug-21,6161,278.9502,36,0:02:42,87318,4.55
D_p2CJ3F-xY,기숙사vs자취 장단점 모두 비교❗️ | WingstudiO EP. 4 [한국기술교육대학교/KOREATECH],06-Mar-22,6126,251.1119,6,0:02:27,69371,7.47
Xsmo9AR7C5U,한기대 #여름방학 #밸런스게임,08-Jul-22,5987,42.4675,1,0:00:25,52672,5.8
Cx9IPiKxItk,"K- 공대생의 대화, 우리 가까워질 수 있지..? [한국기술교육대학교/KOREATECH] #shorts #reels",12-Sep-23,5939,50.1533,4,0:00:30,9768,4.39
bIdaByLt7K0,편입생은 학교에 만족할까?🧐ㅣ한기대 편입준비 찐 후기ㅣ한국기술교육대학교ㅣ편입준비,05-Dec-22,5922,340.5219,6,0:03:27,26542,3.39
3Lt_eU0UXcw,[한국기술교육대학교/코리아텍] 홍보 영상,30-Oct-19,5816,136.1433,11,0:01:24,52122,7.22
ohwRuYK_Hdg,전기·전자·통신공학부 1학년의 하루 | 공대생 브이로그[한국기술교육대학교/KOREATECH],19-May-20,5678,121.2944,6,0:01:16,72409,6.51
UHd5SWwRmdE,[KOREATECH] 2015 홍보동영상(수정),03-Mar-15,5653,265.2077,3,0:02:48,7997,3.33
99dSvYbQORc,한국기술교육대학교 '2020 온라인 한율제',,5598,1145.0413,8,0:12:16,10073,29.86
tOyiBR28hWQ,디지털 기초역량 특강 3편 | 언택트시대의 VR과 AR & 스트리밍 기술 [한국기술교육대학교/KOREATECH],24-Dec-20,5571,202.8697,118,0:02:11,22728,4.8
12KatxmiurI,[한국기술교육대학교/코리아텍] 에너지 신소재 화학 공학부 소개영상,01-Sep-19,5419,137.9121,25,0:01:31,102012,3.68
HxpOogO-9E4,[2021 온라인 한율제 2일차],,5278,1264.7179,3,0:14:22,21932,18.81
UMnnSuOMaAQ,2021학년도 한국기술교육대학교 소개 [한국기술교육대학교/KOREATECH],04-Jun-20,5157,237.8866,13,0:02:46,85412,4.21
LauIlkLyVUA,대면일 때는 이렇게 과팅을 했다고..?🤭 대학교 대면 VS 비대면 리뷰 | WingstudiO EP. 5 [한국기술교육대학교/KOREATECH],30-May-22,5022,70.6746,2,0:00:50,86414,5.5
7mGTIJ40NAI,[한국기술교육대학교/코리아텍] 건축공학부 소개영상,08-Sep-19,4972,124.0298,7,0:01:29,70327,4.72
_xxgQjqt7j0,[알쓸대잡] 한국기술교육대학교 컴퓨터공학부가 4차산업혁명을 대하는 자세,04-Sep-20,4958,221.5821,3,0:02:40,56928,4.56
r6jXC2CQ_1Y,[코리아텍]2017 코리아텍 공식 홍보영상,05-Dec-17,4938,164.2105,7,0:01:59,36783,5.93
OwOEaGs0KdM,[코리아텍/한국기술교육대학교] 광고영상3,28-Jun-19,4935,27.2368,16,0:00:19,40157,7.58
RMpUuYTfrBc,[한국기술교육대학교/코리아텍] (한국어VER)코리아텍 능력개발교육원 홍보영상,16-Oct-18,4913,101.8728,6,0:01:14,22999,4.76
L5WSswCe_I0,디자인공학전공 신입생의 첫번째 미션! | 디자인공학전공 | 2021 학부소개 [한국기술교육대학교/KOREATECH],11-Aug-21,4741,143.3458,66,0:01:48,47625,4.88
wTYT_IRX53A,"고용서비스정책학과, 넌 누구니? (feat. 4년제 대학 최초) | 고용서비스정책학과 | 2021 학부소개 [한국기술교육대학교/KOREATECH]",11-Aug-21,4712,130.9179,69,0:01:40,40240,6.77
wDX8GNPKEWs,이 장비들을 다 써볼 수 있다니..🤭극락이 따로 없네 | 에너지신소재화학공학부 | 2021 학부소개 [한국기술교육대학교/KOREATECH],11-Aug-21,4709,164.1491,63,0:02:05,55681,4.26
uw9xAfQSScE,[코리아텍/한국기술교육대학교] 코리아텍 스마트 러닝 팩토리 홍보 영상,16-Apr-19,4663,1153.7025,13,0:14:50,59665,4.18
i2HfuzTTypA,한기대 축제 라인업 美쳤다..! 떼창 클래스 머선129 #shorts #reels,09-Jun-23,4629,32.2665,0,0:00:25,37477,8.5
ChR6deyLg14,#Hey #한기대 #캠퍼스 #shorts #reels 📚🏀🥽🥼🔧✨,26-Aug-22,4533,12.7346,1,0:00:10,47490,5.54
cpn3a7TjH94,2022 새해맞이 퀴즈 이벤트 #shorts,19-Jan-22,4389,45.5831,318,0:00:37,23538,6
pBJnumHPezI,전 정시파이터가👉현 수능전사에게ㅣ한기대 재학생들의 200% 만족 후기ㅣ한국기술교육대학교ㅣ정시모집ㅣ수능후기,14-Nov-22,4356,294.4409,1,0:04:03,23827,3.89
uex70mGSYvU,동아리? 기숙사? 이거...말해도 되나요?🙄 한기대 홍보대사들의 솔직 TALK 나래에게 물어봐! Part.1,18-Aug-22,4355,119.7796,4,0:01:39,46393,7.63
sBLKkHZ-jYk,[한국기술교육대학교/코리아텍] 컴퓨터공학부 소개영상,26-Sep-19,4172,72.6944,10,0:01:02,37583,7.07
7Gx22ydMaL4,"나왔다, 한기대 [한국기술교육대학교/KOREATECH]",05-Jun-20,4151,15.6537,-2,0:00:13,26011,6.37
n2B_dZF4VmE,가질 순 없어도 튼튼하게 지을 순 있다💪 | 건축공학전공 | 2021 학부소개 [한국기술교육대학교/KOREATECH],11-Aug-21,4119,113.5227,41,0:01:39,49616,4.11
8ouCx9UDl_Y,Wings Magazine_2021 홍보 영상 [한국기술교육대학교/KOREAETCH],06-Mar-21,4025,25.6638,0,0:00:22,28868,11.29
U3d9pbIQzs4,"예비신입생 대상 온라인 학과탐색 ""교수님/재학생/졸업생이 들려주는 학과이야기""(2021.12.17)",17-Dec-21,4025,497.6435,12,0:07:25,134857,1.9
zbvRi8Ugepk,🤚🏻‼새내기 잠깐 STOP‼✋🏻2021 한국기술교육대학교 신입생 오리엔테이션 홍보 영상 [한국기술교육대학교/KOREATECH],19-Feb-21,3909,72.4729,1,0:01:06,33357,9.64
h1doaRVjLa4,[코리아텍/한국기술교육대학교] 광고영상1,28-Jun-19,3878,14.0585,13,0:00:13,28551,7.43
h8jW3if0YEc,2022년 신입생 나우리캠프 KOREATECH LIVE SHOW!,,3732,2476.7178,5,0:39:49,19,84.21
d5oF5y91Rv8,교환학생? 인턴? CC?! SSAP가능😎 한기대 홍보대사들의 솔직 TALK 나래에게 물어봐! Part.2,19-Aug-22,3576,123.3261,6,0:02:04,44467,6.51
gvDy7X0N_nw,[코리아텍 KOREATECH]내 인생의 나침반,05-Dec-17,3461,184.478,13,0:03:11,43208,4.4
V8eRzD_hYfk,한기대 수시지원! 논술전형은 얼마나 바뀌었을까?!🧐 직접 풀어봤습니다!,04-Aug-22,3427,114.3498,10,0:02:00,33911,7.57
CbcUZq1z86g,"[한국기술교육대학교/코리아텍] 학생들을 위한 학교, 코리아텍",11-Feb-19,3422,15.2669,3,0:00:16,24323,10.27
V2H3wTtcCII,Dance Cover | 세븐틴(Seventeen) - _World | 한국기술교육대학교 댄스동아리 빠샤 BASIA,04-Aug-23,3418,74.9686,4,0:01:18,37232,6.06
oK2THFEzCQ8,[코리아텍]전기전자통신공학부 전공 소개 영상,15-Sep-17,3402,57.9969,2,0:01:01,34593,5.34
vqwFminMIsk,[한국기술교육대학교] 휴머노이드 로봇 - 다윈 OP2,07-Oct-16,3401,22.2542,7,0:00:23,20490,6.42
f_ed6L3eEKA,[VLOG] 21학번의 첫 엠티?!ㅣ한기대 응용화학공학과 MTㅣ2박3일 대천여행ㅣ교수님들을 위한 요리대회!ㅣ 응용화학과 보름과 함께하는 릴레이게임,18-Nov-22,3356,106.1584,5,0:01:53,38496,7.67
H1fkBgZr7zU,선배들이 알려주는 학교 이야기 #새내기 #꿀팁 #라이브 I [한국기술교육대학교 / KOREATECH],20-Jan-23,3350,691.6474,86,0:12:23,26193,8.71
B_i656a0Q_g,"한국기술교육대학교 홍보대사 회장의 일상 Vlog | 나래 12기 | 의전준비, 회의, 운동, 점심식사, 개인업무 일상 브이로그 [한국기술교육대학교/KOREATECH]",21-Sep-20,3335,70.8143,3,0:01:16,36052,7.18
9FFER7zwfRo,[KOREATECH] 2014 홍보동영상,14-Jul-14,3278,148.2573,3,0:02:42,7224,3.11
endMSLOhoiA,한국기술교육대학교 개교30주년 기념식,03-Nov-21,3101,435.4335,16,0:08:25,48302,3.43
dJGuUoFXsp8,우리 학교 JMT 무한 리필 학식 클라쓰 보여준다. | 야식이 먹방 | 학식 먹방 [한국기술교육대학교/KOREATECH],01-Jul-20,3099,86.1997,4,0:01:40,30318,8.47
KtG3-aXMHLo,[코리아텍/한국기술교육대학교] 5초 광고영상,09-Jun-19,3062,4.7126,7,0:00:05,22931,6.13
MMXR1YOpJrk,취업률 1위 한국기술교육대학교 합격비법 대방출😎 | WingstudiO EP. 2 [한국기술교육대학교/KOREATECH],04-Nov-21,3058,111.7825,3,0:02:11,40410,5.24
u3FEpmo2Bsc,2021 졸업작품 | 기계공학부 | 벡터 합을 이용한 이륜구동 정찰로봇 [한국기술교육대학교/KOREATECH],01-Jul-21,3057,75.6657,4,0:01:29,34185,6.01
i-TSpylyLng,마스크 벗고 소리 질러🔊 한기대 한율제 현장ㅣ가을 대학축제ㅣ릴보이ㅣlIlBOI,18-Oct-22,3047,49.4103,-2,0:00:58,34202,6.42
TuzoGjjfsBc,[한기대] 2023학년도 한국기술교육대학교 학생부종합전형 안내,25-Jul-22,2971,131.5517,12,0:02:39,47840,4.05
I6Wo4scsx2k,[예비신입생 모여라!] 재학생이 들려주는 학교이야기_2022.01.20,20-Jan-22,2957,367.5306,11,0:07:27,38217,5.21
3qexwDgKPeQ,지금 벽...치는 거야? 갓벽한 한기대 기계공학부😏 취업률까지 완벽-☆ | [한국기술교육대학교/KOREATECH],24-Aug-23,2940,87.7468,3,0:01:47,20948,7.98
7yC4bkdOe6Y,[한국기술교육대학교] 2013 동계과학캠프 '고정배 - 그 남자',14-Feb-13,2900,94.9778,1,0:01:57,8275,5.12
lxwkRkNQFrE,#수능 #100일 #괜찮아 #잘될거야 🙆,09-Aug-22,2855,19.3627,7,0:00:24,23709,3.56
sDOL007Pw3w,무엇이든 알려주나❗ _ 신입생 이벤트 사후영상 [한국기술교육대학교/KOREATECH],29-Mar-21,2845,85.0618,5,0:01:47,33907,6.84
OB5tCobM1as,[코리아텍]디자인공학과 전공 소개 영상,08-Dec-17,2808,40.9314,3,0:00:52,26753,6.44
8lBIXhPNzdA,[한기대] 재학생이 직접 알려주는 2024학년도 한국기술교육대학교 입학전형 안내,01-Jun-23,2794,75.2583,4,0:01:36,32574,6.44
1K3fA4UmuvA,"취업 문제, 게섰거라!😎 국내 유일 한기대 고용서비스정책학과 나가신다👑",11-Jul-22,2778,101.4599,4,0:02:11,35926,4.83
OqvEAgACUjc,"[한국기술교육대학교]  여름방학 특집 온라인 학과탐색  ""교수님이 들려주는 학과이야기""",10-Aug-21,2750,465.7888,12,0:10:09,51824,3.73
QSfumOupbvM,[한국기술교육대학교] TJB_121020 재치 넘치는 한기대'립덥' 유튜브 인기.,22-Oct-12,2732,39.9038,1,0:00:52,14197,3.22
x2ajyN1zcyM,2021학년도 한국기술교육대학교 수시면접 가이드 영상 [한국기술교육대학교/KOREATECH],18-Nov-20,2732,79.3668,6,0:01:44,34657,5.94
G2btPwowRDU,[코리아텍/한국기술교육대학교] 광고영상6,28-Jun-19,2729,4.2872,20,0:00:05,214408,0.79
jg8fz8B3pa0,KBS '일자리가 미래다' 한국기술교육대학교,07-Oct-16,2727,145.6897,8,0:03:12,39770,3.1
Ych_O6dM-64,한기대 = 동아줄?🤭 2023 한기대 정시모집 인터뷰 하이라이트ㅣ공대 통합선발ㅣ수능전사 주목✊,08-Dec-22,2685,18.3361,0,0:00:24,29311,3.89
S5Bb-PvMfXU,한국기술교육대학교 동아리 도장깨기👊🏻 [한국기술교육대학교/KOREATECH],10-Apr-22,2660,46.1694,-7,0:01:02,26058,8.18
Wxf-asTLsNQ,2분만에 보는 한기대 입학식ㅣ2023 한국기술교육대학교 신입생 입학식,15-Mar-23,2659,41.9631,2,0:00:56,26848,8.1
3fgFD10kXyw,[한국기술교육대학교/코리아텍]2019학년도 수시모집 홍보영상 - 1st,31-Aug-18,2585,27.281,2,0:00:37,30058,6.2
AON4mzjVgGQ,"코룡아, 나 지금 되게 신나🧡오늘만을 기다렸다😏한기대 나우리캠프👀",20-Mar-23,2581,79.7068,0,0:01:51,30212,6.14
VIYRzMOXjcw,"한기대 학생부종합전형 의 모든 것, 우리가 알려줄게! 꿀팁🍯 大방출!",19-Jul-22,2579,104.078,7,0:02:25,30250,5.35
AWmENLS6oUk,💸억 소리 나는 장비 부자 한기대 에너지신소재공학전공 직접 리뷰 갑니다! 비싼 장비 너무 탐난다🤑 |  [한국기술교육대학교/KOREATECH],25-Aug-23,2578,87.0781,2,0:02:01,29488,5.32
DTqlkBzEAcc,K-남매 현실? 가족인 듯 가족 아닌 가족 같은 너.. [한국기술교육대학교/KOREATECH] #shorts #reels,14-Sep-23,2558,21.767,0,0:00:30,9849,3.53
tkjxes5Ada8,수능 D-100 수험생 응원 이벤트 | 나래 13기 [한국기술교육대학교/KOREATECH],10-Aug-21,2555,22.9744,148,0:00:32,15178,6.01
24dtM1HYtW4,디자인공학과 소개영상[한국기술교육대학교/KOREATECH],23-Feb-20,2542,57.5771,1,0:01:21,29802,6.83
ckcoBFC931w,GTA 에너지신소재공학과편 (feat. 찐 교수님 등장?) [한국기술교육대학교/KOREATECH],27-May-20,2500,92.7607,4,0:02:13,31291,5.62
1_MEkZCJpoU,수험생을 위한 응원 영상 | 홍보대사 나래가 수험생 여러분을 응원합니다 [한국기술교육대학교/KOREATECH],23-Oct-20,2497,33.104,9,0:00:47,17796,5.78
GoXuAEfUNo4,★구해줘! 나래★ 신입생 드루와! (ft. 캠퍼스투어_담헌 편) [한국기술교육대학교/KOREATECH],13-Aug-20,2484,57.7085,1,0:01:23,30806,6.49
4LYySe6OdtE,[맥박수180] 영상처리기반 자율주행 쇼핑카트,19-Nov-20,2438,40.2885,4,0:00:59,15101,4.26
KyAzjGLJo28,한국기술교육대학교 제 5회 KOREATECH! 교육콘서트,,2435,689.4964,20,0:16:59,10350,11.46
Rv0724U2bbo,[한국기술교육대학교] 한기대 립덥(Lip-Dub) / KOREATECH & Arirang TV,07-Nov-12,2399,51.001,2,0:01:16,10620,5
88Z8pBfqazE,"[2021 수시모집 홍보영상] 불 좀 꺼줄래?😉 ""지원해 봐, 한국기술교육대학교""",11-Sep-20,2389,46.7131,-1,0:01:10,29454,5.82
5zbw5nhQy9U,"이제 알게 될 거야, 네가 몰랐던 너의 가능성🌟 l 2023학년도 한국기술교육대학교 수시모집",07-Sep-22,2386,9.4249,1,0:00:14,55839,3.51
OSTGSku2Xls,능력개발교육원  자격교육 오리엔테이션-교직훈련과정 [한국기술교육대학교/KOREATECH],,2372,281.1904,29,0:07:06,44,2.27
rmUoXKBCX6k,우리 학교가 경찰수업 촬영지? | 경찰수업 드라마 이벤트 사전영상 [한국기술교육대학교/KOREATECH],20-Sep-21,2361,33.2349,63,0:00:50,20402,7.2
4Qy-seVVz5s,[한국기술교육대학교/코리아텍] 코리아텍 스피드 드론 영상,28-Nov-18,2346,49.3247,2,0:01:15,23735,4.28
HUNVA_Flxvs,[코리아텍/한국기술교육대학교] 5초 광고영상3,09-Jun-19,2336,3.317,3,0:00:05,23803,5.09
Wu8GPloSKHo,🌸대학의 꽃 홍보대사🌸는 무슨 일을 할까? | 한국기술교육대학교 홍보대사 체험 리뷰 | 워크맨 패러디  [한국기술교육대학교/KOREATECH],02-Oct-21,2327,77.1764,0,0:01:59,31199,5.3
j56UvNcrgZQ,코로나 전후 OT 전격 비교ㅣ화석 선배가 말🐎해주는 대면 오티의 추억ㅣ한국기술교육대학교 #orientation #shorts #reels,13-Feb-23,2320,16.3157,0,0:00:25,13797,4.02
eSKhNmjlGYE,색다른 대학교의 밤🌛 한기대 동아리의 밤🔥 | 2022 동밤 | 한국기술교육대학교 | KOREATECH,11-Oct-22,2286,34.0536,-1,0:00:53,24068,7.63
6s5_XfxCgj8,2022학년도 신설학과 고용서비스정책학과 소개 영상 [한국기술교육대학교/KOREATECH],14-May-21,2278,72.2104,9,0:01:54,20610,5.83
AkYpGnqvbKw,[코리아텍/한국기술교육대학교] 신입생 vs 고학번 퀴즈대결,08-Apr-19,2270,23.381,5,0:00:37,28930,6.25
QCXtCc-umRc,[VLOG] 체육대회 '한'번쯤은 '기대'해도 좋잖아..?☆⁺. ⊹,13-Jun-23,2264,69.1935,2,0:01:50,28184,6.38
Hcff2YXPlTg,[코리아텍]정시합격자 대상 홍보영상 '신과 함께' 패러디 영상,02-Feb-18,2230,35.2167,1,0:00:56,25883,5.51
YBibA6xns8w,[한국기술교육대학교/코리아텍] 2020학년도 수시 전형 소개영상,23-Aug-19,2220,79.0133,11,0:02:08,81700,1.47
Tk_3NsLDXhI,KOREATECH Video,08-Feb-14,2217,121.6325,2,0:03:17,3777,3.15
IHgPJ0UHs6A,등록금 0원?🤷‍♂️너두?🤷‍♀️야나두 #shorts,24-Aug-22,2203,23.4484,2,0:00:38,20604,4.99
saAPpUKmxII,[코리아텍/한국기술교육대학교] 광고영상2,28-Jun-19,2196,7.8605,6,0:00:12,29787,4.37
uL6nsurm4gk,"[한국기술교육대학교] 학부모 입시설명회 - 특강 ""2022학년도 수시모집 지원 전략"" 이만기(2021.06.16)",16-Jun-21,2165,364.0759,4,0:10:05,45652,3.34
53-hnRQGLgc,[드리븐] 속도가 향상된 자작자동차 연구 및 제작,19-Nov-20,2060,37.138,5,0:01:04,14823,2.92
dGrerXz7YaY,아는 형님의 누나의 아는 동생이~ 알려주는 산업경영학부 | 발표 열심히 듣는 모습 귀여워😉 [한국기술교육대학교/KOREATECH],18-Aug-23,2045,54.623,2,0:01:36,14573,7.28
ZNgQYXDf9AY,✨ 나래에게 물어봐 ✨,15-Jul-22,2014,12.2216,9,0:00:21,3695,12.34
rehX17PXQtI,"[한기대] 2023학년도 한국기술교육대학교 학생부교과, 논술, 정시전형 안내",25-Jul-22,1988,67.8818,3,0:02:02,24092,5.07
0gw7dBfOv8U,코리아텍 마네킹 챌린지(KOREATECH mannequin challenge),19-Nov-16,1987,26.7287,0,0:00:48,9603,3.12
5HohU5jZLOo,고용서비스정책학과 | 2022년 신설학과 [한국기술교육대학교/KOREATECH],11-Aug-21,1975,14.8152,11,0:00:27,33227,3.17
bsj1Oa9cd8k,[코리아텍/한국기술교육대학교] 광고영상5,28-Jun-19,1955,3.1813,19,0:00:05,188457,0.71
GaUNnbZGL8c,능력개발교육원  자격교육 오리엔테이션-신중년교직훈련과정 [한국기술교육대학교/KOREATECH],,1948,252.8294,22,0:07:47,24,0
YwgExlw4K1E,[한국기술교육대학교/코리아텍] 2019학년도 코리아텍 입학전형,22-Aug-18,1944,65.0518,10,0:02:00,34898,3.99
c3hWNivm8r0,[코리아텍/한국기술교육대학교]  '나래의 밤' 사후영상,29-May-19,1943,32.8294,4,0:01:00,26671,5.69
GC-ZZ8D4a4s,"컴공오면 VR도 만들공, 드론 코딩도하공😆 | 교수님 피셜 연애하면 A+ ?! | 한기대 컴퓨터공학부 파헤치기! |  [한국기술교육대학교/KOREATECH]",22-Aug-23,1940,44.177,2,0:01:21,13328,6.03
3QEvFaJ4C0c,[전기기사보다졸작] 딥러닝 기술과 Pick-and-Place 로봇을 이용한 스마트팩토리,19-Nov-20,1933,24.1104,0,0:00:44,11796,2.93
ZO83jT3_NAM,Konnect Ep.2 | 나에게 한기대란 | 메카트로닉스공학부_소예진 [한국기술교육대학교/KOREATECH],04-Jan-21,1920,49.8867,-1,0:01:33,25998,5.13
xFff_wLXigM,한국기술교육대학교 재학생 홍보대사 나래 15기 모집 영상📺 | WHO'S NEXT?  | 다음은 바로 YOU | (feat.아우누리 일반공지 30335번),27-Feb-23,1918,27.1632,-1,0:00:50,18498,7.48
WMnXJgeE_l8,"대학은 기술이다, 한국기술교육대학교 [한국기술교육대학교/KOREATECH]",05-Jun-20,1887,7.2239,1,0:00:13,19634,3.31
Xy0LGdZTxdE,[한국기술교육대학교/코리아텍]2019학년도 수시모집 홍보영상 - 2nd,31-Aug-18,1876,20.4521,2,0:00:39,24250,5.51
GLcRtDiU_k0,[KOREATECH] 2015 합격생 환영 동영상,30-Jan-15,1873,10.1299,0,0:00:19,3011,4.88
